B5200,Snow White,#FFFFFF
BLANC,White,#FCFBF8
ECRU,Ecru,#F0EADA
01,White Tin,#F0F0E8
02,Tin,#E0E0D8
03,Medium Tin,#C8C8C0
04,Dark Tin,#B0B0A8
05,Light Driftwood,#E8D8C8
06,Medium Light Driftwood,#D4BEA8
07,Driftwood,#C0A888
08,Dark Driftwood,#A08878
09,Very Dark Cocoa,#604830
10,Very Light Tender Green,#F0F0E0
11,Light Tender Green,#F0EED0
12,Tender Green,#D8E0A0
13,Medium Light Nile Green,#B8D8A0
14,Pale Apple Green,#C8E8B0
15,Apple Green,#A0C878
16,Light Chartreuse,#C8D860
17,Light Yellow Plum,#E0D078
18,Yellow Plum,#D0C060
19,Medium Light Autumn Gold,#E8C850
20,Shrimp,#F0A898
21,Light Alizarin,#C89888
22,Alizarin,#B88878
23,Apple Blossom,#F8F0E0
24,White Lavender,#F0E8F0
25,Ultra Light Lavender,#E8E0F0
26,Pale Lavender,#D8D0E8
27,White Violet,#F0E8F8
28,Medium Light Eggplant,#A898B8
29,Eggplant,#887898
30,Medium Light Blueberry,#8888B8
31,Blueberry,#6868A0
32,Dark Blueberry,#484880
33,Fuchsia,#C048A0
34,Dark Fuchsia,#A03888
35,3 of3,#702860
150,Ultra Very Dark Dusty Rose,#AB0249
151,Very Light Dusty Rose,#F0CED4
152,Medium Light Shell Pink,#E2A099
153,Very Light Violet,#E6CCD9
154,Very Dark Grape,#572433
155,Medium Dark Blue Violet,#9891B6
156,Medium Light Blue Violet,#A3AED1
157,Very Light Cornflower Blue,#BBC3D9
158,Medium Very Dark Cornflower Blue,#4C526E
159,Light Gray Blue,#C7CAD7
160,Medium Gray Blue,#999FB7
161,Gray Blue,#7880A4
162,Ultra Very Light Blue,#DBECF5
163,Medium Caledon Green,#4D8361
164,Light Forest Green,#C8D8B8
165,Very Light Moss Green,#EFF4A4
166,Medium Light Moss Green,#C0C840
167,Very Dark Yellow Beige,#A77C49
168,Very Light Pewter,#D1D1D1
169,Light Pewter,#848484
208,Very Dark Lavender,#835B8B
209,Dark Lavender,#A37BA7
210,Medium Lavender,#C39FC3
211,Light Lavender,#E3CBE3
221,Very Dark Shell Pink,#883E43
223,Light Shell Pink,#CC847C
224,Very Light Shell Pink,#EBB7AF
225,Ultra Very Light Shell Pink,#FFDFD5
300,Very Dark Mahogany,#6F2F00
301,Medium Mahogany,#B35F2B
304,Medium Red,#B71F33
307,Lemon,#FDED54
309,Ultra Very Dark Rose,#D62B5B
310,Black,#000000
311,Medium Navy Blue,#1C5066
312,Very Dark Baby Blue,#35668B
315,Medium Dark Antique Mauve,#814952
316,Medium Antique Mauve,#B7737F
317,Pewter Gray,#6C6C6C
318,Light Steel Gray,#ABABAB
319,Very Dark Pistachio Green,#205F2E
320,Medium Pistachio Green,#69885A
321,Red,#C72B3B
322,Dark Baby Blue,#5A8FB8
326,Very Dark Rose,#B33B4B
327,Dark Violet,#633666
333,Very Dark Blue Violet,#5C5478
334,Medium Baby Blue,#739FC1
335,Rose,#EE546E
336,Navy Blue,#253B73
340,Medium Blue Violet,#ADA7C7
341,Light Blue Violet,#B7BFDD
347,Very Dark Salmon,#BF2D2D
349,Dark Coral,#D21035
350,Medium Coral,#E04848
351,Coral,#E96A67
352,Light Coral,#FD9C97
353,Peach,#FED7CC
355,Dark Terra Cotta,#984436
356,Medium Terra Cotta,#C56A5B
367,Dark Pistachio Green,#617A52
368,Light Pistachio Green,#A6C298
369,Very Light Pistachio Green,#D7EDCC
370,Medium Mustard,#B89D64
371,Mustard,#BFA671
372,Light Mustard,#CCB784
400,Dark Mahogany,#8F430F
402,Very Light Mahogany,#F7A777
407,Dark Desert Sand,#BB8161
413,Dark Pewter Gray,#565656
414,Dark Steel Gray,#8C8C8C
415,Pearl Gray,#D3D3D6
420,Dark Hazelnut Brown,#A07042
422,Light Hazelnut Brown,#C69F7B
433,Medium Brown,#7A451F
434,Light Brown,#985E33
435,Very Light Brown,#B87748
436,Tan,#CB9051
437,Light Tan,#E4BB8E
444,Dark Lemon,#FFD600
445,Light Lemon,#FFFB8B
451,Dark Shell Gray,#917B73
452,Medium Shell Gray,#C0B3AE
453,Light Shell Gray,#D7CECB
469,Avocado Green,#72843C
470,Light Avocado Green,#94AB4F
471,Very Light Avocado Green,#AEBF79
472,Ultra Light Avocado Green,#D8E498
498,Dark Red,#A7132B
500,Very Dark Blue Green,#044D33
501,Dark Blue Green,#396F52
502,Blue Green,#5B9071
503,Medium Blue Green,#7BAC94
504,Very Light Blue Green,#C4DECC
505,Jade Green,#338362
517,Dark Wedgwood,#3B768F
518,Light Wedgwood,#4F93A7
519,Sky Blue,#7EB1C8
520,Dark Fern Green,#666D4F
522,Fern Green,#969E7E
523,Light Fern Green,#ABB197
524,Very Light Fern Green,#C4CDAC
535,Very Light Ash Gray,#636458
543,Ultra Very Light Beige,#F2E3CE
550,Very Dark Violet,#5C184E
552,Medium Violet,#803A6B
553,Violet,#A3638B
554,Light Violet,#DBB3CB
561,Very Dark Jade,#2C6A45
562,Medium Jade,#53976A
563,Light Jade,#8FC098
564,Very Light Jade,#A7CDAF
580,Dark Moss Green,#888D33
581,Moss Green,#A7AE38
